day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
0,0,2462215,106.25666666666666,3.24023444931236,2.0366666666666666,1.4728270845414106
0,0,2462220,106.45333333333333,3.281827263815182,2.0366666666666666,1.4705545408953893
0,1,2462215,105.84,4.01182199493741,2.11,1.516211172980279
0,1,2462220,105.83666666666667,4.146561079357009,2.1133333333333333,1.5258603216851796
0,2,2462215,104.44333333333333,4.062240129755371,3.9433333333333334,2.176214278091534
0,2,2462220,104.88,4.140379508561546,3.9366666666666665,2.172953745978677
0,3,2462215,106.42,4.458309291551053,15.926666666666666,9.0076865479086
0,3,2462220,106.97333333333333,4.5167050272552665,15.876666666666667,8.99915207203476
0,4,2462215,104.59666666666666,6.246389369553886,39.38666666666666,16.064579815161085
0,4,2462220,105.28,5.652264470589196,39.31333333333333,16.064517358100677
0,5,2462215,99.45666666666666,16.90228029446712,51.67,19.49670497845013
0,5,2462220,100.21,16.29573779348802,51.586666666666666,19.404232433759567
0,6,2462215,82.28333333333333,32.03399723447394,46.276666666666664,16.663102517455933
0,6,2462220,83.46333333333334,31.606622473295918,46.24333333333333,16.620014193582133
0,7,2462215,100.61666666666666,9.924955315547157,32.873333333333335,8.331185453408528
0,7,2462220,101.53,8.3958761178303,32.913333333333334,8.301538453274356
0,8,2462215,93.54,24.24985053224288,31.906666666666666,6.466633336695356
0,8,2462220,93.9,24.548566292625146,31.833333333333332,6.525398453131369
0,9,2462215,102.14046822742475,3.7880509475678465,33.48494983277592,6.4757374419395575
0,9,2462220,102.26086956521739,4.161848201144846,33.424749163879596,6.499627468980649
0,10,2462215,101.51333333333334,3.8884730892009967,34.68,6.395357848212169
0,10,2462220,101.99,3.892781244739805,34.68,6.4162419324022615
0,11,2462215,102.8,3.603231548481621,35.46666666666667,7.063653887545193
0,11,2462220,103.30666666666667,3.5186016275789043,35.46666666666667,7.104256265025406
0,12,2462215,102.06666666666666,4.124592476744779,38.75333333333333,7.104039706820047
0,12,2462220,102.64333333333333,4.203373651692339,38.623333333333335,7.121129862877718
0,13,2462215,101.82,5.581347339763965,44.31,9.126786259398706
0,13,2462220,102.24333333333334,5.838184954885118,44.31666666666667,9.137909691718459
0,14,2462215,97.54882154882155,8.400760520499162,43.46127946127946,8.029044554961475
