measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 19:37:00+00:00,2332541,99,51,4,19
2025-05-02 19:38:00+00:00,2332541,99,53,4,19
2025-05-02 19:39:00+00:00,2332541,95,52,4,19
2025-05-02 19:40:00+00:00,2332541,107,58,4,19
2025-05-02 19:41:00+00:00,2332541,103,58,4,19
2025-05-02 19:42:00+00:00,2332541,102,56,4,19
2025-05-02 19:43:00+00:00,2332541,111,56,4,19
2025-05-02 19:44:00+00:00,2332541,109,48,4,19
2025-05-02 19:45:00+00:00,2332541,104,53,4,19
2025-05-02 19:46:00+00:00,2332541,104,51,4,19
2025-05-02 19:47:00+00:00,2332541,107,44,4,19
2025-05-02 19:48:00+00:00,2332541,107,48,4,19
2025-05-02 19:49:00+00:00,2332541,104,52,4,19
2025-05-02 19:50:00+00:00,2332541,102,40,4,19
2025-05-02 19:51:00+00:00,2332541,103,46,4,19
2025-05-02 19:52:00+00:00,2332541,108,57,4,19
2025-05-02 19:53:00+00:00,2332541,101,56,4,19
2025-05-02 19:54:00+00:00,2332541,100,54,4,19
2025-05-02 19:55:00+00:00,2332541,107,59,4,19
2025-05-02 19:56:00+00:00,2332541,108,59,4,19
2025-05-02 19:57:00+00:00,2332541,104,57,4,19
2025-05-02 19:58:00+00:00,2332541,106,65,4,19
2025-05-02 19:59:00+00:00,2332541,99,68,4,19
2025-05-02 20:00:00+00:00,2332541,105,66,4,20
2025-05-02 20:01:00+00:00,2332541,101,70,4,20
2025-05-02 20:02:00+00:00,2332541,100,71,4,20
2025-05-02 20:03:00+00:00,2332541,100,65,4,20
2025-05-02 20:04:00+00:00,2332541,106,68,4,20
2025-05-02 20:05:00+00:00,2332541,101,73,4,20
2025-05-02 20:06:00+00:00,2332541,108,71,4,20
2025-05-02 20:07:00+00:00,2332541,104,76,4,20
2025-05-02 20:08:00+00:00,2332541,98,78,4,20
2025-05-02 20:09:00+00:00,2332541,97,78,4,20
2025-05-02 20:10:00+00:00,2332541,102,73,4,20
2025-05-02 20:11:00+00:00,2332541,106,64,4,20
2025-05-02 20:12:00+00:00,2332541,104,62,4,20
2025-05-02 20:13:00+00:00,2332541,105,58,4,20
2025-05-02 20:14:00+00:00,2332541,99,55,4,20
2025-05-02 20:15:00+00:00,2332541,102,51,4,20
2025-05-02 20:16:00+00:00,2332541,102,53,4,20
2025-05-02 20:17:00+00:00,2332541,106,48,4,20
2025-05-02 20:18:00+00:00,2332541,106,47,4,20
2025-05-02 20:19:00+00:00,2332541,104,45,4,20
2025-05-02 20:20:00+00:00,2332541,102,47,4,20
2025-05-02 20:21:00+00:00,2332541,103,55,4,20
2025-05-02 20:22:00+00:00,2332541,103,52,4,20
2025-05-02 20:23:00+00:00,2332541,104,53,4,20
2025-05-02 20:24:00+00:00,2332541,95,55,4,20
2025-05-02 20:25:00+00:00,2332541,106,61,4,20
2025-05-02 20:26:00+00:00,2332541,104,67,4,20
2025-05-02 20:27:00+00:00,2332541,109,68,4,20
2025-05-02 20:28:00+00:00,2332541,105,71,4,20
2025-05-02 20:29:00+00:00,2332541,103,70,4,20
2025-05-02 20:30:00+00:00,2332541,107,61,4,20
2025-05-02 20:31:00+00:00,2332541,103,51,4,20
2025-05-02 20:32:00+00:00,2332541,99,52,4,20
2025-05-02 20:33:00+00:00,2332541,98,46,4,20
2025-05-02 20:34:00+00:00,2332541,100,53,4,20
2025-05-02 20:35:00+00:00,2332541,104,56,4,20
2025-05-02 20:36:00+00:00,2332541,98,55,4,20
2025-05-02 20:37:00+00:00,2332541,100,57,4,20
2025-05-02 20:38:00+00:00,2332541,102,59,4,20
2025-05-02 20:39:00+00:00,2332541,104,53,4,20
2025-05-02 20:40:00+00:00,2332541,101,54,4,20
2025-05-02 20:41:00+00:00,2332541,107,53,4,20
2025-05-02 20:42:00+00:00,2332541,106,55,4,20
2025-05-02 20:43:00+00:00,2332541,98,50,4,20
2025-05-02 20:44:00+00:00,2332541,100,57,4,20
2025-05-02 20:45:00+00:00,2332541,102,57,4,20
2025-05-02 20:46:00+00:00,2332541,106,53,4,20
2025-05-02 20:47:00+00:00,2332541,96,55,4,20
2025-05-02 20:48:00+00:00,2332541,99,56,4,20
2025-05-02 20:49:00+00:00,2332541,102,47,4,20
2025-05-02 20:50:00+00:00,2332541,101,37,4,20
2025-05-02 20:51:00+00:00,2332541,106,38,4,20
2025-05-02 20:52:00+00:00,2332541,103,41,4,20
2025-05-02 20:53:00+00:00,2332541,103,40,4,20
2025-05-02 20:54:00+00:00,2332541,101,50,4,20
2025-05-02 20:55:00+00:00,2332541,105,57,4,20
2025-05-02 20:56:00+00:00,2332541,107,58,4,20
2025-05-02 20:57:00+00:00,2332541,102,54,4,20
2025-05-02 20:58:00+00:00,2332541,107,45,4,20
2025-05-02 20:59:00+00:00,2332541,100,44,4,20
2025-05-02 21:00:00+00:00,2332541,100,40,4,21
2025-05-02 21:01:00+00:00,2332541,100,41,4,21
2025-05-02 21:02:00+00:00,2332541,100,42,4,21
2025-05-02 21:03:00+00:00,2332541,108,44,4,21
2025-05-02 21:04:00+00:00,2332541,92,40,4,21
2025-05-02 21:05:00+00:00,2332541,95,41,4,21
2025-05-02 21:06:00+00:00,2332541,98,45,4,21
2025-05-02 21:07:00+00:00,2332541,99,42,4,21
2025-05-02 21:08:00+00:00,2332541,105,49,4,21
