day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
0,0,2471843,110.06333333333333,5.615255339755954,1.7866666666666666,1.2727484108337441
0,0,2471844,109.71,5.70036964124457,1.7866666666666666,1.270117929197568
0,1,2471843,108.64333333333333,5.967816883086784,2.08,1.7117340461695718
0,1,2471844,108.91666666666667,6.068427164407691,2.0866666666666664,1.7269714309449038
0,2,2471843,106.7,4.534888906170071,4.326666666666667,2.385846411489981
0,2,2471844,106.69666666666667,4.575416594394777,4.336666666666667,2.394947766634011
0,3,2471843,108.92333333333333,5.490410206564124,17.523333333333333,9.76459317235632
0,3,2471844,108.9,5.323325336867972,17.54,9.76351134818585
0,4,2471843,109.9,3.9295637890109814,43.376666666666665,16.306269868129352
0,4,2471844,109.76,3.8040288447256856,43.46333333333333,16.315718324272822
0,5,2471843,108.02333333333333,3.788221786436612,59.47666666666667,22.018146716705076
0,5,2471844,107.86,3.7210959654309512,59.54333333333334,22.09484243959037
0,6,2471843,107.13,3.891475118167628,53.593333333333334,18.00393738677678
0,6,2471844,107.02333333333333,3.8556029969976224,53.67666666666667,17.96313920567981
0,7,2471843,105.72,4.044270070276935,37.88666666666666,9.737722166856338
0,7,2471844,105.62,4.15529641473558,38.0,9.744906910912043
0,8,2471843,105.31333333333333,4.036848114294351,34.11,6.402176155946704
0,8,2471844,105.21333333333334,4.029301817022945,34.18,6.462208119463828
0,9,2471843,104.6923076923077,3.878045375166904,37.48829431438127,7.602257928034508
0,9,2471844,104.63545150501672,3.8308462862158184,37.51170568561873,7.571739453787443
0,10,2471843,105.25333333333333,3.9183756559949505,39.17666666666667,7.7260010698069195
0,10,2471844,105.09333333333333,3.909249244343928,39.24,7.7883198715386985
0,11,2471843,105.63666666666667,4.39039566964174,40.68333333333333,7.590461508273667
0,11,2471844,105.66,4.240006941371235,40.71666666666667,7.593985621152425
0,12,2471843,105.76,4.4865909472292245,46.24333333333333,8.774628343360337
0,12,2471844,105.78,4.523990306611454,46.29333333333334,8.776714911496278
0,13,2471843,107.22333333333333,4.314569184330786,56.86333333333334,12.598959009217477
0,13,2471844,107.09,4.337967250478125,56.84,12.575167970978676
0,14,2471843,106.65319865319866,4.039199588425084,56.0,10.347998892591798
0,14,2471844,106.48821548821549,3.9967084236504253,56.08754208754209,10.388683406704766
0,15,2471843,107.61754385964912,3.7544866496594436,52.60701754385965,13.441839501058853
0,15,2471844,107.37543859649122,3.7915900591538247,52.536842105263155,13.43068579702849
0,16,2471843,108.64666666666666,4.356422493901796,35.85,7.787360052587063
0,16,2471844,108.43333333333334,4.302782278947231,35.906666666666666,7.855591849115415
0,17,2471843,109.47666666666667,4.714893738509953,28.836666666666666,5.591141065734741
0,17,2471844,109.47333333333333,4.714876004876487,28.923333333333332,5.625205062532446
0,18,2471843,108.61333333333333,4.236782186977342,23.966666666666665,5.4243556609682075
0,18,2471844,108.40666666666667,4.279681585171624,23.97,5.372022781275391
0,19,2471843,108.97658862876254,4.417337760150655,19.836120401337794,5.030434187988455
0,19,2471844,108.8628762541806,4.251086685557651,19.846153846153847,5.032419420574373
0,20,2471843,109.77666666666667,4.516057070102606,16.856666666666666,5.473816258974378
0,20,2471844,109.25666666666666,4.967868888487259,16.846666666666668,5.441985505588227
0,21,2471843,110.55333333333333,4.569839566963093,9.556666666666667,3.263273212961231
0,21,2471844,109.97,5.055785784590313,9.54,3.2614706246494842
0,22,2471843,108.39666666666666,5.456975734731996,4.463333333333333,2.025420941150686
