day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
0,0,2332540,107.08,3.1517261820185767,3.76,1.87281198980674
0,0,2332541,105.33333333333333,5.917116113379868,3.78,1.862748715184024
0,1,2332540,108.44333333333333,4.082770989421583,3.6333333333333333,2.2109991587111986
0,1,2332541,106.96,4.983424028734389,3.6533333333333333,2.223278084351291
0,2,2332540,106.79333333333334,4.500905396344724,5.123333333333333,2.4223296966805097
0,2,2332541,105.87666666666667,4.37400219550048,5.123333333333333,2.427846167339088
0,3,2332540,107.54666666666667,4.505792135104719,19.11,11.04314584862998
0,3,2332541,106.86666666666666,4.561972621892696,19.10333333333333,11.023507364003358
0,4,2332540,102.59,12.117950145097304,59.43333333333333,27.744032270821226
0,4,2332541,101.93333333333334,11.40830341659263,59.42,27.720721394812767
0,5,2332540,94.97333333333333,20.32361812607862,77.6,31.095924519768374
0,5,2332541,94.50666666666666,18.998590571440445,77.47333333333333,31.081551307183716
0,6,2332540,75.75666666666666,32.45038593576594,73.59,25.89576287961135
0,6,2332541,76.13666666666667,30.414054392185058,73.53,25.91475154860812
0,7,2332540,101.11666666666666,11.99511002188027,52.34,14.601658402169445
0,7,2332541,100.41666666666667,11.355448453826654,52.403333333333336,14.61984227626385
0,8,2332540,102.51,3.880734509657692,48.74333333333333,9.945543474620886
0,8,2332541,101.87,3.9444003745032292,48.72666666666667,9.949972969605255
0,9,2332540,101.90635451505017,3.5612464479672052,52.45484949832776,8.381054951982225
0,9,2332541,101.11705685618729,3.624535614796886,52.52173913043478,8.459260581323012
0,10,2332540,101.85,3.907907257143483,55.72666666666667,10.052967858536656
0,10,2332541,101.19333333333333,3.9793726781904515,55.803333333333335,10.035621616337965
0,11,2332540,102.33666666666667,3.905658645316399,57.6,9.485422718422052
0,11,2332541,101.65333333333334,3.9731316118277724,57.61,9.540508600060383
0,12,2332540,102.56,3.9773270464952475,59.49333333333333,9.917550853849171
0,12,2332541,101.58333333333333,4.024555342881406,59.5,9.778995988433888
0,13,2332540,102.82666666666667,4.13282263900114,59.486666666666665,10.273996572616525
0,13,2332541,102.1,4.119047849193606,59.53333333333333,10.201099466395764
0,14,2332540,102.65993265993266,4.29670411032296,58.21212121212121,9.094035089083068
0,14,2332541,101.96969696969697,4.392379485312891,58.30639730639731,9.044768131789256
0,15,2332540,103.92280701754386,5.154753636271567,60.80350877192983,12.445231635532963
0,15,2332541,103.15438596491228,5.440849346477982,60.81754385964912,12.377357832101287
0,16,2332540,106.57666666666667,4.085718935465463,46.54666666666667,10.492288403490871
0,16,2332541,105.77333333333333,4.120503697927925,46.51,10.55752992546506
0,17,2332540,107.03666666666666,5.862013267988161,39.153333333333336,6.361187355422848
0,17,2332541,106.46,5.455971537504578,39.14333333333333,6.42654316714303
0,18,2332540,108.57333333333334,4.396481820373929,32.32,6.971820969116894
0,18,2332541,108.11333333333333,4.351660070992113,32.3,6.937128067103706
0,19,2332540,108.55852842809365,3.745120204210781,29.51170568561873,5.420167730044265
0,19,2332541,108.06020066889631,3.6540482229949687,29.51170568561873,5.378527102495906
0,20,2332540,108.20666666666666,3.5814398305367012,26.243333333333332,5.113179464515538
0,20,2332541,107.42,3.630546730895691,26.24,5.16442681696876
0,21,2332540,109.58333333333333,4.521563595340803,16.776666666666667,4.4549159899089075
0,21,2332541,109.10666666666667,4.425748114930585,16.80666666666667,4.49852694829883
0,22,2332540,109.85,4.65758991461346,9.376666666666667,3.935277659379357
0,22,2332541,109.37333333333333,4.66115616683181,9.403333333333334,3.9538291277520354
0,23,2332540,106.27666666666667,4.1243370468243965,5.006666666666667,2.5824119981099383
